music_id,music_type,music_name,stat_correct,stat_played,stat_guessed,stat_averageguessms,avg_vote,music_vote_count
362,Ending,Be Catch!,6,36,20,14512,,0
363,Insert,Tsundere Waltz,1,7,3,13490,,0
365,Opening,Love Hell Rocket,4,17,8,15901,,0
366,Insert,Tenshi ni Kureta Season,3,22,10,11832,,0
367,Ending,Kaerimichi,0,3,1,16082,,0
368,Insert,Niji o Watarou,1,7,3,18669,45.0000000000000000,1
369,Opening,Kuru Kuru Channel!,5,14,9,12716,60.0000000000000000,1
370,Insert,Kakushita Namida,3,20,9,13821,80.0000000000000000,1
371,Opening,Suiren,0,43,11,7874,80.0000000000000000,5
372,Ending,Seiza,1,10,8,12788,90.0000000000000000,1
373,Ending,allegretto -sora to kimi-,63,170,107,14395,76.0000000000000000,4
373,Opening,allegretto -sora to kimi-,63,170,107,14395,76.0000000000000000,4
374,Opening,Chiisana Brilliant,18,104,50,16102,68.0000000000000000,1
375,Insert,Taiyou to Umi no Melody,7,44,22,2665,70.0000000000000000,5
376,Opening,Tsumasaki Movin'on!,8,65,30,9170,,0
377,Insert,Tenohira no Rakuen,3,31,15,16211,,0
378,Ending,Reichinrininshan,156,592,388,18705,72.5000000000000000,20
379,Insert,Soul for the Sword,310,965,750,14120,85.0000000000000000,25
380,Opening,Hanakotoba,35,135,83,8991,80.0000000000000000,4
381,Ending,Utsusemi,11,60,36,12961,,0
382,Opening,Natsuiro no Cinderella,5,42,24,5606,,0
383,Ending,Memory,5,19,16,16286,,0
384,Ending,Ayumi,0,21,11,10038,66.0000000000000000,2
385,Opening,Littlestone,8,60,18,10687,66.0000000000000000,3
386,Opening,Confession,2,35,12,13702,,0
387,Ending,Akizora no Mukou,5,29,11,5661,,0
388,Opening,Breakthrough Your Heart,1,10,5,9779,61.0000000000000000,2
389,Ending,Deai mo Wakare mo,0,3,0,0,65.0000000000000000,1
390,Opening,Miko Miko Nurse ・ Ai no Theme,16,72,39,11595,80.0000000000000000,5
391,Ending,Miko Miko Nurse ・ Itoshiki Hito ni Sasagu Kanon,3,32,13,16227,60.0000000000000000,1
392,Opening,Mizuiro,11,34,18,13566,55.0000000000000000,1
393,Insert,Gomenne...,10,41,27,14642,60.0000000000000000,1
394,Ending,Smile,1,5,2,34828,69.0000000000000000,1
395,Opening,Koisuru★Fluorite,78,228,135,13802,70.0000000000000000,15
396,Ending,Nijiiro no Lucia,6,36,15,14128,76.0000000000000000,3
397,Ending,Ashita e... Anata e,0,8,4,10157,65.0000000000000000,2
